SNo,Date,Country,RegionCode,RegionName,Latitude,Longitude,HospitalizedPatients,IntensiveCarePatients,TotalHospitalizedPatients,HomeConfinement,CurrentPositiveCases,NewPositiveCases,Recovered,Deaths,TotalPositiveCases,TestsPerformed
3990,2020-09-01T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,29,1,30,376,406,5,2902,472,3780,102588
3991,2020-09-01T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,1,1,2,86,88,1,408,28,524,55949
3992,2020-09-01T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,22,0,22,244,266,22,1150,97,1513,155296
3993,2020-09-01T17:00:00,ITA,15,Campania,40.83956555,14.25084984,143,6,149,2143,2292,102,4430,446,7168,242683
3994,2020-09-01T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,106,9,115,2946,3061,99,24497,4463,32021,533273
3995,2020-09-01T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,12,2,14,363,377,17,3061,348,3786,153624
3996,2020-09-01T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,336,8,344,2941,3285,125,7153,878,11316,486744
3997,2020-09-01T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,39,5,44,516,560,19,8839,1571,10970,128951
3998,2020-09-01T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,212,21,233,6849,7082,242,76368,16867,100317,986403
3999,2020-09-01T17:00:00,ITA,11,Marche,43.61675973,13.5188753,14,1,15,294,309,16,5960,987,7256,122724
4000,2020-09-01T17:00:00,ITA,14,Molise,41.55774754,14.65916051,3,0,3,70,73,3,432,23,528,32507
4001,2020-09-01T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,8,2,10,191,201,13,2455,292,2948,73432
4002,2020-09-01T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,4,1,5,87,92,3,4602,405,5099,83419
4003,2020-09-01T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,92,7,99,1365,1464,42,27313,4146,32923,363196
4004,2020-09-01T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,123,7,130,730,860,39,4062,557,5479,218643
4005,2020-09-01T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,31,6,37,800,837,50,1272,134,2243,116718
4006,2020-09-01T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,71,10,81,1071,1152,33,2911,287,4350,269806
4007,2020-09-01T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,53,9,62,1519,1581,40,9175,1142,11898,360022
4008,2020-09-01T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,9,2,11,267,278,10,1445,80,1803,96713
4009,2020-09-01T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,3,0,3,27,30,0,1065,146,1241,17699
4010,2020-09-01T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,69,9,78,2382,2460,97,18444,2122,23026,614376
4011,2020-09-02T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,30,1,31,399,430,24,2902,472,3804,103603
4012,2020-09-02T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,1,1,2,88,90,2,408,28,526,56534
4013,2020-09-02T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,21,0,21,269,290,32,1158,97,1545,157068
4014,2020-09-02T17:00:00,ITA,15,Campania,40.83956555,14.25084984,163,4,167,2235,2402,117,4437,446,7285,247341
4015,2020-09-02T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,104,10,114,2989,3103,107,24562,4463,32128,540012
4016,2020-09-02T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,11,3,14,373,387,20,3070,349,3806,154882
4017,2020-09-02T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,343,9,352,3055,3407,130,7161,878,11446,495791
4018,2020-09-02T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,38,6,44,563,607,47,8839,1571,11017,130214
4019,2020-09-02T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,220,22,242,7036,7278,237,76407,16869,100554,998868
4020,2020-09-02T17:00:00,ITA,11,Marche,43.61675973,13.5188753,14,1,15,305,320,17,5966,987,7273,123648
4021,2020-09-02T17:00:00,ITA,14,Molise,41.55774754,14.65916051,3,0,3,70,73,0,432,23,528,32812
4022,2020-09-02T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,8,2,10,196,206,10,2460,292,2958,74019
4023,2020-09-02T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,4,1,5,118,123,33,4604,405,5132,83762
4024,2020-09-02T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,90,7,97,1424,1521,66,27321,4147,32989,366797
4025,2020-09-02T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,140,6,146,776,922,67,4067,557,5546,221391
4026,2020-09-02T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,32,5,37,872,909,73,1272,135,2316,118433
4027,2020-09-02T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,76,12,88,1139,1227,83,2919,287,4433,272775
4028,2020-09-02T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,58,8,66,1570,1636,69,9189,1142,11967,365415
